Место,Название компании,Регион,Отрасль,Итоговый балл,kind
230,Славнефть-Красноярскнефтегаз,Красноярский край,"Энергетика, добыча и переработка сырья",97.48,Крупные
231,Азиатско-Тихоокеанский банк,Амурская область,Банки,97.47,Крупные
232,ECCO,Москва,Розничные сети,97.46,Крупные
233,Группа компаний «МОНОПОЛИЯ»,Санкт-Петербург,"Транспорт, логистика, автодилеры",97.36,Крупные
234,Волховец,Новгородская область,"Промышленное производство (непищевое), торгово-производственные компании",97.33,Крупные
235,Сеть медицинских центров ГК «Эксперт»,Липецкая область,Фармацевтика и медицина,97.32,Крупные
236,ОСК 1520,Москва,Строительство и недвижимость,97.31,Крупные
237,КОНТИНЕНТ (торгово-логистическая компания),Краснодарский край,"Оптовые продажи, дилеры, дистрибьюторы",97.19,Крупные
238,BlinBerry Group,Волгоградская область,"Ресторанные сети, гостиницы",97.16,Крупные
239,"Mareven (бренды Роллтон, BigBon)",Московская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",97.01,Крупные
240,"""МВПС-Сервис""",Москва,"Транспорт, логистика, автодилеры",96.97,Крупные
241,Эстима,Москва,"Промышленное производство (непищевое), торгово-производственные компании",96.96,Крупные
242,Авиакомпания Победа,Москва,"Транспорт, логистика, автодилеры",96.92,Крупные
243,"Холдинг ""Монастырёв.рф""",Приморский край,Фармацевтика и медицина,96.81,Крупные
244,Строительный двор,Тюменская область,"Оптовые продажи, дилеры, дистрибьюторы",96.76,Крупные
245,Кузбасский бройлер,Кемеровская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",96.69,Крупные
246,"Мясоперерабатывающее предприятие ""ТАВРИЯ""",Челябинская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",96.65,Крупные
247,Мосгоргеотрест,Москва,Государственная служба и организации,96.6,Крупные
248,Центр корпоративных решений (ЦКР),Липецкая область,Услуги для бизнеса,96.59,Крупные
249,"сеть клиник ""Скандинавия""",Санкт-Петербург,Фармацевтика и медицина,96.55,Крупные
250,GS Group,Ленинградская область,"Промышленное производство (непищевое), торгово-производственные компании",96.55,Крупные
251,ГК Белая Долина,Саратовская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",96.45,Крупные
252,Согласие,Москва,"Финансы, страхование, аудит",96.42,Крупные
253,ГАЛАМАРТ,Свердловская область,Розничные сети,96.37,Крупные
254,Новатор (Джанкойский молокозавод),Республика Крым,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",96.33,Крупные
255,Находка,Республика Татарстан,Розничные сети,96.16,Крупные
256,ФомЛайн,Москва,"Промышленное производство (непищевое), торгово-производственные компании",96.09,Крупные
257,ТК Приволжье-Транс,Нижегородская область,"Транспорт, логистика, автодилеры",95.84,Крупные
258,Волжское пароходство,Нижегородская область,"Транспорт, логистика, автодилеры",95.75,Крупные
259,JSA Group,Москва,IT и интернет,95.69,Крупные
260,ЛОНМАДИ (JCB),Москва,"Оптовые продажи, дилеры, дистрибьюторы",95.67,Крупные
261,Московская Пивоваренная Компания,Московская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",95.54,Крупные
262,Тейковский хлопчатобумажный комбинат (ТХБК),Ивановская область,"Промышленное производство (непищевое), торгово-производственные компании",95.48,Крупные
263,Авторитэйл,Москва,"Транспорт, логистика, автодилеры",95.48,Крупные
264,ГЛОБАЛ ФУД (франчайзи KFC),Республика Башкортостан,"Ресторанные сети, гостиницы",95.46,Крупные
265,Innostage,Республика Татарстан,IT и интернет,95.38,Крупные
266,"Здравсервис (Твой доктор, Здесь аптека)",Тульская область,Фармацевтика и медицина,95.36,Крупные
267,Группа Ренессанс страхование,Москва,"Финансы, страхование, аудит",95.23,Крупные
268,Социальная Аптека,Ростовская область,Фармацевтика и медицина,95.12,Крупные
269,Фармацевтическая компания ВЕРТЕКС,Санкт-Петербург,Фармацевтика и медицина,95.06,Крупные
270,Ростелеком Башкортостан,Республика Башкортостан,"Телекоммуникации, связь",94.99,Крупные
271,Берг Холдинг,Москва,"Оптовые продажи, дилеры, дистрибьюторы",94.96,Крупные
272,"Фармаимпекс (Аптека ""Фармаимпекс, ""Экона"", ""Бережная аптека"")",Удмуртская Республика,Фармацевтика и медицина,94.88,Крупные
273,Пермэнергосбыт,Пермский край,"Энергетика, добыча и переработка сырья",94.88,Крупные
274,Линия 7,Пермский край,"Оптовые продажи, дилеры, дистрибьюторы",94.85,Крупные
275,"ФК ПУЛЬС, фармацевтический дистрибьютор",Московская область,Фармацевтика и медицина,94.81,Крупные
276,"ГК ""Миррико""",Республика Татарстан,"Промышленное производство (непищевое), торгово-производственные компании",94.64,Крупные
277,Группа компаний «Шанс»,Воронежская область,"Промышленное производство (непищевое), торгово-производственные компании",94.6,Крупные
278,Донской государственный технический университет (ДГТУ),Ростовская область,Наука и образование,94.57,Крупные
279,KazanExpress,Республика Татарстан,IT и интернет,94.56,Крупные
280,Омсктехуглерод (Омск Карбон Групп),Омская область,"Промышленное производство (непищевое), торгово-производственные компании",94.53,Крупные
281,Организатор перевозок,Москва,Государственная служба и организации,94.52,Крупные
282,РусГазБурение,Москва,"Энергетика, добыча и переработка сырья",94.48,Крупные
283,PRIDEX,Москва,Строительство и недвижимость,94.48,Крупные
284,Снежная Королева,Московская область,Розничные сети,94.36,Крупные
285,ФракДжет-Строй,Саратовская область,Строительство и недвижимость,94.33,Крупные
286,МИР ИНСТРУМЕНТА,Москва,"Оптовые продажи, дилеры, дистрибьюторы",94.3,Крупные
287,"МФЦ ""Мои Документы"" Иркутской области",Иркутская область,Государственная служба и организации,94.28,Крупные
288,ДРТ,Москва,"Финансы, страхование, аудит",94.25,Крупные
289,Владимирский завод прецизионных сплавов,Москва,"Промышленное производство (непищевое), торгово-производственные компании",94.21,Крупные
290,ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ,Тюменская область,Наука и образование,94.18,Крупные
291,Центр организации дорожного движения (ЦОДД),Москва,"Транспорт, логистика, автодилеры",94.14,Крупные
292,"ООО ""РВК-Липецк""",Липецкая область,Услуги для населения,94.03,Крупные
293,Владхлеб,Приморский край,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",93.97,Крупные
294,ГОСТ Отель Менеджмент,Москва,"Ресторанные сети, гостиницы",93.93,Крупные
295,Красноярскэнергосбыт,Красноярский край,"Энергетика, добыча и переработка сырья",93.86,Крупные
296,Зетта Страхование,Москва,"Финансы, страхование, аудит",93.65,Крупные
297,Минимакс,Санкт-Петербург,"Оптовые продажи, дилеры, дистрибьюторы",93.64,Крупные
298,Фаберлик,Москва,"Промышленное производство (непищевое), торгово-производственные компании",93.57,Крупные
299,"НПП ""Бурение""",Самарская область,Строительство и недвижимость,93.53,Крупные
300,"ГК ""Орион"" (Орион-телеком)",Красноярский край,IT и интернет,93.5,Крупные
301,ЧЕЛЯБИНВЕСТБАНК,Челябинская область,Банки,93.5,Крупные
302,KERAMA MARAZZI,Орловская область,"Промышленное производство (непищевое), торгово-производственные компании",93.37,Крупные
303,Магаданэнерго,Магаданская область,"Энергетика, добыча и переработка сырья",93.19,Крупные
304,Фармкомплект,Нижегородская область,Фармацевтика и медицина,93.15,Крупные
305,Татспиртпром,Республика Татарстан,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",93.03,Крупные
306,Компания Мария,Саратовская область,"Промышленное производство (непищевое), торгово-производственные компании",93.02,Крупные
307,Якутскэнерго,Республика Саха (Якутия),"Энергетика, добыча и переработка сырья",92.93,Крупные
308,Альмакоргруп,Москва,Строительство и недвижимость,92.93,Крупные
309,МедИнвестГрупп,Москва,Фармацевтика и медицина,92.81,Крупные
310,Профит-Лига,Ростовская область,"Оптовые продажи, дилеры, дистрибьюторы",92.8,Крупные
311,"Российская Стекольная Компания (RGC, X-ONE)",Санкт-Петербург,"Промышленное производство (непищевое), торгово-производственные компании",92.66,Крупные
312,Элита,Санкт-Петербург,"Промышленное производство (непищевое), торгово-производственные компании",92.65,Крупные
313,АБС Электро,Чувашская Республика,"Промышленное производство (непищевое), торгово-производственные компании",92.65,Крупные
314,"""Когалымнефтегеофизика""",Ханты-Мансийский АО - Югра,"Энергетика, добыча и переработка сырья",92.62,Крупные
315,РНГ,Москва,"Энергетика, добыча и переработка сырья",92.43,Крупные
316,Сахалинэнерго,Сахалинская область,"Энергетика, добыча и переработка сырья",92.42,Крупные
317,Ультрамар,Ленинградская область,"Транспорт, логистика, автодилеры",92.34,Крупные
318,Борский завод торгового оборудования,Нижегородская область,"Промышленное производство (непищевое), торгово-производственные компании",92.32,Крупные
319,УБРиР,Свердловская область,Банки,92.32,Крупные
320,МАГАЗИН МОЕГО РАЙОНА,Пензенская область,Розничные сети,92.19,Крупные
321,ДИРЕКТ КРЕДИТ ЦЕНТР,Москва,IT и интернет,92.17,Крупные
322,Калужский турбинный завод,Калужская область,"Промышленное производство (непищевое), торгово-производственные компании",92.1,Крупные
323,Эскорт Сервис,Москва,"Оптовые продажи, дилеры, дистрибьюторы",91.95,Крупные
324,СберКорус,Санкт-Петербург,IT и интернет,91.77,Крупные
325,ТРАНСКАПИТАЛБАНК (ТКБ БАНК),Москва,Банки,91.66,Крупные
326,Южные электрические сети Камчатки,Камчатский край,"Энергетика, добыча и переработка сырья",91.54,Крупные
327,Департамент продовольствия и социального питания г. Казани,Республика Татарстан,Государственная служба и организации,91.53,Крупные
328,"Московский Автомобильный Завод ""Москвич""",Москва,"Промышленное производство (непищевое), торгово-производственные компании",91.25,Крупные
329,Сладонеж,Омская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",91.1,Крупные
330,Международный аэропорт Платов (Ростов-на-Дону),Ростовская область,"Транспорт, логистика, автодилеры",90.82,Крупные
331,"ПАО ""Славнефть-ЯНОС""",Ярославская область,"Энергетика, добыча и переработка сырья",90.71,Крупные
332,ДАНАФЛЕКС,Республика Татарстан,"Промышленное производство (непищевое), торгово-производственные компании",90.68,Крупные
333,"Лабораторная служба ""Хеликс""",Санкт-Петербург,Фармацевтика и медицина,90.34,Крупные
334,ОмскВодоканал,Омская область,Услуги для населения,90.24,Крупные
335,Отрадное,Самарская область,"Промышленное производство (непищевое), торгово-производственные компании",90.15,Крупные
336,СибГМУ,Томская область,Наука и образование,90.09,Крупные
337,"Международный аэропорт ""Курумоч""",Самарская область,"Транспорт, логистика, автодилеры",90.08,Крупные
338,Северо-Кавказский федеральный университет,Ставропольский край,Наука и образование,89.91,Крупные
339,"ГБУ ""МФЦ"" (Свердловская область)",Свердловская область,Государственная служба и организации,89.87,Крупные
340,ЭнергосбыТ Плюс,Свердловская область,"Энергетика, добыча и переработка сырья",89.63,Крупные
341,Авиационный комплекс им. С. В. Ильюшина,Москва,"Промышленное производство (непищевое), торгово-производственные компании",89.44,Крупные
342,Сыктывкарский фанерный завод,Республика Коми,"Промышленное производство (непищевое), торгово-производственные компании",89.22,Крупные
343,Биохимик,Республика Мордовия,"Промышленное производство (непищевое), торгово-производственные компании",89.16,Крупные
344,Севастопольский государственный университет (СевГУ),Республика Крым,Наука и образование,88.88,Крупные
345,Красный Яр,Красноярский край,Розничные сети,88.8,Крупные
346,Мелодия здоровья,Новосибирская область,Фармацевтика и медицина,88.63,Крупные
347,TDM ELECTRIC,Москва,"Промышленное производство (непищевое), торгово-производственные компании",88.11,Крупные
348,Аэропорт Кольцово,Свердловская область,"Транспорт, логистика, автодилеры",87.63,Крупные
349,Ле'Муррр,Санкт-Петербург,Розничные сети,87.37,Крупные
350,Росводоканал Оренбург,Оренбургская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",87.23,Крупные
351,ФГАУ РОСЖИЛКОМПЛЕКС,Москва,Государственная служба и организации,86.78,Крупные
352,Бахетле,Республика Татарстан,Розничные сети,86.65,Крупные
353,Уралэлектротяжмаш (УЭТМ),Свердловская область,"Промышленное производство (непищевое), торгово-производственные компании",85.72,Крупные
354,Такском,Москва,IT и интернет,85.5,Крупные
355,Российские космические системы,Москва,"Промышленное производство (непищевое), торгово-производственные компании",83.36,Крупные
1,ЦЕНТР РАЗВИТИЯ «СРЕДА ВОЗМОЖНОСТЕЙ»,Москва,Государственная служба и организации,132.42,Небольшие
2,BLACK STAR,Москва,Медиа,130.17,Небольшие
3,Sports.ru,Москва,Медиа,126.95,Небольшие
4,Афиша,Москва,Медиа,124.95,Небольшие
5,VERTEX,Москва,Сервисные и инжиниринговые компании,124.27,Небольшие
6,"Издательство МИФ (Манн, Иванов и Фербер)",Москва,"Маркетинг, реклама, издательский бизнес",121.25,Небольшие
7,CRM-group,Рязанская область,"Маркетинг, реклама, издательский бизнес",120.58,Небольшие
8,Development Systems,Санкт-Петербург,"Проектирование, архитектура",119.73,Небольшие
9,CODDY – международная школа программирования и дизайна для детей,Москва,Наука и образование,118.44,Небольшие
10,BGS Group,Челябинская область,Услуги для бизнеса,117.15,Небольшие
11,Атом Безопасность,Новосибирская область,IT и интернет,117.0,Небольшие
12,101 Интернет,Рязанская область,IT и интернет,116.22,Небольшие
13,Novotel,Свердловская область,"Ресторанные сети, гостиницы",116.18,Небольшие
14,"Издательство ""Феникс""",Ростовская область,"Маркетинг, реклама, издательский бизнес",115.65,Небольшие
15,Green House,Тюменская область,"Ресторанные сети, гостиницы",115.56,Небольшие
16,Федеральное агентство по делам молодежи (Росмолодёжь),Москва,Государственная служба и организации,114.64,Небольшие
17,KOZA GROUP,Санкт-Петербург,"Ресторанные сети, гостиницы",114.14,Небольшие
18,5-55 управление ит-сервисами,Москва,Сервисные и инжиниринговые компании,114.12,Небольшие
19,Уральский Медицинский колледж,Челябинская область,Наука и образование,113.02,Небольшие
20,СибТехПроект,Томская область,"Проектирование, архитектура",113.02,Небольшие
21,WATER-PRO,Республика Татарстан,"Проектирование, архитектура",112.66,Небольшие
22,АгроТехника,Волгоградская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",112.62,Небольшие
23,Easy Media,Москва,"Маркетинг, реклама, издательский бизнес",112.48,Небольшие
24,Adventum,Москва,"Маркетинг, реклама, издательский бизнес",112.26,Небольшие
25,Greenway Global (Майгрин Маркет),Новосибирская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",112.09,Небольшие
26,"""Unikor Group"" (Юникор Групп)",Республика Башкортостан,Строительство и недвижимость,111.73,Небольшие
27,ИТС,Красноярский край,Сервисные и инжиниринговые компании,111.62,Небольшие
28,ENGERTA,Москва,"Проектирование, архитектура",111.61,Небольшие
29,MS.Phone,Ставропольский край,Услуги для населения,111.44,Небольшие
30,XSA Ramps,Краснодарский край,"Проектирование, архитектура",111.37,Небольшие
31,Anna Key,Москва,Услуги для населения,110.82,Небольшие
32,AG-Technologies,Санкт-Петербург,"Промышленное производство (непищевое), торгово-производственные компании",110.16,Небольшие
33,HURMA Group of Companies,Москва,"Ресторанные сети, гостиницы",110.14,Небольшие
34,AFG - group,Москва,Наука и образование,110.08,Небольшие
35,Big Media Moscow,Москва,"Маркетинг, реклама, издательский бизнес",109.97,Небольшие
36,Energy Team,Москва,"Телекоммуникации, связь",109.76,Небольшие
37,Getprice,Москва,"Финансы, страхование, аудит",108.99,Небольшие
38,Фитнес-клуб ULTRA,Ульяновская область,Услуги для населения,108.43,Небольшие
39,iStore,Республика Дагестан,Розничные сети,108.41,Небольшие
40,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАДЕМИЯ СОВРЕМЕННЫХ ТЕХНОЛОГИЙ""",Тюменская область,Наука и образование,108.22,Небольшие
41,"ГБУ НСО ""Центр информационных технологий НСО""",Новосибирская область,Государственная служба и организации,108.11,Небольшие
42,AGIMA,Москва,IT и интернет,108.07,Небольшие
43,ЦМИ МГУ,Москва,Наука и образование,108.06,Небольшие
44,Ювелирный дом Даная (ИП Карапетян),Ростовская область,Розничные сети,108.0,Небольшие
45,LC GROUP,Новосибирская область,IT и интернет,107.93,Небольшие
46,MPSTATS,Санкт-Петербург,IT и интернет,107.87,Небольшие
47,Бутербродная компания,Москва,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",107.8,Небольшие
48,Beetl,Москва,"Маркетинг, реклама, издательский бизнес",107.69,Небольшие
49,MediaNation,Москва,"Маркетинг, реклама, издательский бизнес",107.64,Небольшие
50,AQUASTOK,Краснодарский край,"Промышленное производство (непищевое), торгово-производственные компании",107.64,Небольшие
51,4ФРЭШ,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",107.55,Небольшие
52,"""Технологии надёжности""",Белгородская область,IT и интернет,107.5,Небольшие
53,Проектное бюро ЛУЧ,Санкт-Петербург,"Проектирование, архитектура",107.39,Небольшие
54,Pedant.ru,Республика Башкортостан,Услуги для бизнеса,107.36,Небольшие
55,Консалтинговая группа Текарт,Тульская область,"Маркетинг, реклама, издательский бизнес",107.32,Небольшие
56,Rocket10,Москва,"Маркетинг, реклама, издательский бизнес",107.24,Небольшие
57,Artox Media Digital Group,Москва,"Маркетинг, реклама, издательский бизнес",107.15,Небольшие
58,Адвант,Волгоградская область,"Маркетинг, реклама, издательский бизнес",107.08,Небольшие
59,Illan communications,Санкт-Петербург,"Маркетинг, реклама, издательский бизнес",106.74,Небольшие
60,"""Марш - страховые брокеры""",Москва,"Финансы, страхование, аудит",106.7,Небольшие
61,Altenar,Владимирская область,IT и интернет,106.69,Небольшие
62,Ужин Дома,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",106.64,Небольшие
63,Институт инноваций и права,Москва,Услуги для бизнеса,106.63,Небольшие
64,"""СиЭс Медика""",Москва,"Оптовые продажи, дилеры, дистрибьюторы",106.6,Небольшие
65,Зарядные станции Яблочков,Санкт-Петербург,Сервисные и инжиниринговые компании,106.59,Небольшие
66,Портал-Юг,Краснодарский край,IT и интернет,106.58,Небольшие
67,Самолет плюс Омск-Центр,Москва,Строительство и недвижимость,106.57,Небольшие
68,Центр зрения Микрохирургия,Иркутская область,Фармацевтика и медицина,106.55,Небольшие
69,Programming Store (PROSTO),Удмуртская Республика,IT и интернет,106.52,Небольшие
70,Живем Дома,Волгоградская область,Строительство и недвижимость,106.49,Небольшие
71,ССП-СОФТ (SSP-SOFT),Москва,IT и интернет,106.46,Небольшие
72,Инглекс,Краснодарский край,Наука и образование,106.42,Небольшие
73,CityNature,Москва,"Оптовые продажи, дилеры, дистрибьюторы",106.35,Небольшие
74,Группа AURORA,Московская область,"Оптовые продажи, дилеры, дистрибьюторы",106.33,Небольшие
75,Фридом,Челябинская область,"Телекоммуникации, связь",106.23,Небольшие
76,ACADEMIA LAND,Санкт-Петербург,"Ресторанные сети, гостиницы",106.02,Небольшие
77,"Агентство недвижимости ""ИНФИНИТИ""",Москва,Строительство и недвижимость,106.0,Небольшие
78,"Группа компаний ""Простор""",Москва,Строительство и недвижимость,105.86,Небольшие
79,idaproject,Москва,IT и интернет,105.78,Небольшие
80,Glory Group,Омская область,"Оптовые продажи, дилеры, дистрибьюторы",105.69,Небольшие
81,Арарат Парк Хаятт Москва,Москва,"Ресторанные сети, гостиницы",105.51,Небольшие
82,General Invest,Москва,"Финансы, страхование, аудит",105.48,Небольшие
83,СТРОЙПАРТНЁР,Свердловская область,"Оптовые продажи, дилеры, дистрибьюторы",105.43,Небольшие
84,Конфитрейд,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",105.41,Небольшие
85,Российское Автомобильное Товарищество,Москва,"Финансы, страхование, аудит",105.36,Небольшие
86,"Агентство ""Город Инвесторов""",Краснодарский край,Строительство и недвижимость,105.26,Небольшие
87,Астим,Москва,"Оптовые продажи, дилеры, дистрибьюторы",105.26,Небольшие
88,БВК,Иркутская область,IT и интернет,104.97,Небольшие
89,Нефтетанк,Москва,"Промышленное производство (непищевое), торгово-производственные компании",104.97,Небольшие
90,Napoleon IT,Московская область,IT и интернет,104.9,Небольшие
91,ЦЕНТРСВЕТ ** по результатам опроса офисных сотрудников,Москва,"Проектирование, архитектура",104.88,Небольшие
92,CLOXY,Новосибирская область,"Промышленное производство (непищевое), торгово-производственные компании",104.87,Небольшие
93,CityAds Media,Москва,"Маркетинг, реклама, издательский бизнес",104.85,Небольшие
94,Мобиадс,Москва,"Маркетинг, реклама, издательский бизнес",104.82,Небольшие
95,Центр дистрибьюции,Московская область,"Оптовые продажи, дилеры, дистрибьюторы",104.81,Небольшие
96,АстраЗенека Индастриз,Калужская область,Фармацевтика и медицина,104.72,Небольшие
97,Завод ЭМА,Свердловская область,"Промышленное производство (непищевое), торгово-производственные компании",104.7,Небольшие
98,IT TEST,Тульская область,IT и интернет,104.63,Небольшие
99,AGYM,Тверская область,Услуги для населения,104.63,Небольшие
100,АН АстраДом Realty,Москва,Строительство и недвижимость,104.59,Небольшие
101,MVS,Санкт-Петербург,Сервисные и инжиниринговые компании,104.56,Небольшие
102,Онлайн-Школа №1 ** по результатам опроса офисных сотрудников,Санкт-Петербург,Наука и образование,104.54,Небольшие
103,hate agency,Москва,"Маркетинг, реклама, издательский бизнес",104.47,Небольшие
104,СК10,Ростовская область,Строительство и недвижимость,104.46,Небольшие
105,Bnovo,Санкт-Петербург,IT и интернет,104.45,Небольшие
106,Ю-Лайф,Москва,"Финансы, страхование, аудит",104.39,Небольшие
107,ДомМаркет,Ростовская область,Строительство и недвижимость,104.38,Небольшие
108,Beeline Cloud | DataFort,Москва,IT и интернет,104.37,Небольшие
109,"АО ""АТОМДАТА""",Москва,"Телекоммуникации, связь",104.35,Небольшие
110,"""Абак-2000""",Вологодская область,IT и интернет,104.3,Небольшие
111,Индустрия Такси,Москва,"Транспорт, логистика, автодилеры",104.29,Небольшие
112,AWG,Москва,IT и интернет,104.28,Небольшие
113,Инлайф Страхование,Москва,"Финансы, страхование, аудит",104.24,Небольшие
114,АКГ Капитал,Свердловская область,"Финансы, страхование, аудит",104.2,Небольшие
115,ПЕТРОЛЕУМ ТРЕЙДИНГ,Москва,"Оптовые продажи, дилеры, дистрибьюторы",104.16,Небольшие
116,ГозПоддержка,Республика Татарстан,"Финансы, страхование, аудит",104.12,Небольшие
117,Maxmoll,Томская область,"Оптовые продажи, дилеры, дистрибьюторы",104.12,Небольшие
118,Студия Ремонтов,Москва,Строительство и недвижимость,104.01,Небольшие
119,"""FitnesShock""",Самарская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",103.99,Небольшие
120,FURLA,Москва,Розничные сети,103.97,Небольшие
121,Магнат,Волгоградская область,"Транспорт, логистика, автодилеры",103.95,Небольшие
122,Непрерывное Профессиональное Образование,Москва,Наука и образование,103.93,Небольшие
123,"Сибирско-Уральская медиа компания (ИА Ура.ру, СМИ Моменты)",Свердловская область,Медиа,103.87,Небольшие
124,EDPRO онлайн-академия,Москва,Наука и образование,103.85,Небольшие
125,ГИГАНТ,Москва,IT и интернет,103.85,Небольшие
126,Centre Digital & Media,Удмуртская Республика,Медиа,103.84,Небольшие
127,Химтраст,Республика Татарстан,"Промышленное производство (непищевое), торгово-производственные компании",103.8,Небольшие
128,АН Мореон Инвест,Краснодарский край,Строительство и недвижимость,103.75,Небольшие
129,Киберпротект,Москва,IT и интернет,103.73,Небольшие
130,RAKETA,Свердловская область,IT и интернет,103.66,Небольшие
131,Застройщик Новая жизнь Москва,Москва,Строительство и недвижимость,103.59,Небольшие
132,ЭТС,Москва,IT и интернет,103.55,Небольшие
133,Ekleft,Москва,IT и интернет,103.54,Небольшие
134,"Центр недвижимости ""Наследие""",Краснодарский край,Строительство и недвижимость,103.48,Небольшие
135,Онлайн академия Михаила Христосенко,Москва,Наука и образование,103.46,Небольшие
136,СКБ ЛАБ (SKB LAB),Свердловская область,IT и интернет,103.43,Небольшие
137,ДжонТрак,Нижегородская область,"Транспорт, логистика, автодилеры",103.39,Небольшие
138,Центр единого сервиса Аскона Лайф Групп,Владимирская область,Услуги для бизнеса,103.34,Небольшие
139,Мультибонус (программа лояльности ВТБ и Почта Банка),Москва,IT и интернет,103.29,Небольшие
140,Глобал Транс,Ханты-Мансийский АО - Югра,"Транспорт, логистика, автодилеры",103.26,Небольшие
141,WIM.Agency,Москва,"Маркетинг, реклама, издательский бизнес",103.12,Небольшие
142,1С:Апрель Софт,Нижегородская область,IT и интернет,103.1,Небольшие
143,ЕвроОбувь,Ставропольский край,Розничные сети,103.07,Небольшие
144,Химпром,Пермский край,"Промышленное производство (непищевое), торгово-производственные компании",102.94,Небольшие
145,Фортуна-Плюс,Кемеровская область,Сервисные и инжиниринговые компании,102.93,Небольшие
146,2UP,Ростовская область,IT и интернет,102.93,Небольшие
147,ДАЛКОС,Москва,"Оптовые продажи, дилеры, дистрибьюторы",102.92,Небольшие
148,ВОСТОКЦЕМЕНТ,Приморский край,Строительство и недвижимость,102.91,Небольшие
149,Вебиум,Ленинградская область,Наука и образование,102.88,Небольшие
150,BGP Litigation,Москва,Услуги для бизнеса,102.85,Небольшие
151,Партнер,Москва,"Оптовые продажи, дилеры, дистрибьюторы",102.84,Небольшие
152,"""АйПиМатика""",Москва,"Оптовые продажи, дилеры, дистрибьюторы",102.83,Небольшие
153,НТЦ АРГУС,Санкт-Петербург,IT и интернет,102.81,Небольшие
154,Ростовский Морской Мультимодальный Порт,Ростовская область,"Транспорт, логистика, автодилеры",102.71,Небольшие
155,Связь и Радионавигация,Санкт-Петербург,"Телекоммуникации, связь",102.67,Небольшие
156,Jcat (Джейкет.ру),Москва,IT и интернет,102.66,Небольшие
157,Умная логистика,Пермский край,IT и интернет,102.65,Небольшие
158,"The Group (Trip Cars, Real2, Ethno Villa, Play Store)",Республика Дагестан,Розничные сети,102.64,Небольшие
159,4 Колеса,Кемеровская область,Розничные сети,102.61,Небольшие
160,ТаймЛизинг,Приморский край,"Финансы, страхование, аудит",102.59,Небольшие
161,Nobilis.Team,Москва,IT и интернет,102.55,Небольшие
162,ПЛАТФОРМА ОФД,Москва,IT и интернет,102.53,Небольшие
163,"""НПО АСТА"", ""Астима""",Московская область,"Промышленное производство (непищевое), торгово-производственные компании",102.46,Небольшие
164,ПТК Новопак,Новосибирская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",102.45,Небольшие
