Место,Название компании,Регион,Отрасль,Итоговый балл,kind
65,FESCO,Москва,"Транспорт, логистика, автодилеры",99.24,Крупнейшие
66,FES Retail,Москва,Розничные сети,99.09,Крупнейшие
67,СУЭК (СИБИРСКАЯ УГОЛЬНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ),Москва,"Энергетика, добыча и переработка сырья",99.04,Крупнейшие
68,РИВ ГОШ,Санкт-Петербург,Розничные сети,98.9,Крупнейшие
69,АЛИДИ,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",98.74,Крупнейшие
70,ITECO,Нижегородская область,"Транспорт, логистика, автодилеры",98.73,Крупнейшие
71,Melon Fashion Group,Санкт-Петербург,Розничные сети,98.58,Крупнейшие
72,"МЕДСИ, группа компаний",Москва,Фармацевтика и медицина,98.58,Крупнейшие
73,Трубная Металлургическая Компания,Москва,"Промышленное производство (непищевое), торгово-производственные компании",98.57,Крупнейшие
74,Деловые Линии,Санкт-Петербург,"Транспорт, логистика, автодилеры",98.31,Крупнейшие
75,Аптечная сеть Фармленд,Республика Башкортостан,Фармацевтика и медицина,98.23,Крупнейшие
76,АВТОБАН,Москва,Строительство и недвижимость,97.83,Крупнейшие
77,"Торговая сеть ""Европа""",Курская область,Розничные сети,97.53,Крупнейшие
78,Победа,Ульяновская область,Розничные сети,97.48,Крупнейшие
79,Национальная служба доставки,Новосибирская область,"Транспорт, логистика, автодилеры",97.38,Крупнейшие
80,ПАО Т Плюс,Московская область,"Энергетика, добыча и переработка сырья",97.12,Крупнейшие
81,"Объединённая Компания ""РУСАЛ""",Красноярский край,"Энергетика, добыча и переработка сырья",97.01,Крупнейшие
82,"""Азбука вкуса""",Москва,Розничные сети,96.91,Крупнейшие
83,УРАЛХИМ,Москва,"Промышленное производство (непищевое), торгово-производственные компании",96.81,Крупнейшие
84,Ингосстрах,Москва,"Финансы, страхование, аудит",96.68,Крупнейшие
85,СМ-Клиника,Москва,Фармацевтика и медицина,96.59,Крупнейшие
86,Ашан Ритейл Россия,Московская область,Розничные сети,96.52,Крупнейшие
87,АО ОМК,Москва,"Промышленное производство (непищевое), торгово-производственные компании",96.42,Крупнейшие
88,КАМАЗ,Республика Татарстан,"Промышленное производство (непищевое), торгово-производственные компании",96.28,Крупнейшие
89,ЛЕНТА,Санкт-Петербург,Розничные сети,96.21,Крупнейшие
90,Тензор,Ярославская область,IT и интернет,96.14,Крупнейшие
91,Агропромышленный холдинг «Дороничи»,Кировская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",95.85,Крупнейшие
92,ЦУМ,Москва,Розничные сети,95.76,Крупнейшие
93,КАО «Азот»,Кемеровская область,"Промышленное производство (непищевое), торгово-производственные компании",95.76,Крупнейшие
94,Группа М.Видео-Эльдорадо,Москва,Розничные сети,95.74,Крупнейшие
95,ПИК,Москва,Строительство и недвижимость,95.63,Крупнейшие
96,Hoff,Москва,Розничные сети,95.57,Крупнейшие
97,Россети Московский регион,Москва,"Энергетика, добыча и переработка сырья",95.51,Крупнейшие
98,ИНВИТРО,Москва,Фармацевтика и медицина,95.36,Крупнейшие
99,Спортмастер,Москва,Розничные сети,95.18,Крупнейшие
100,Вкусвилл,Москва,Розничные сети,95.02,Крупнейшие
101,ТОКИО-CITY,Санкт-Петербург,"Ресторанные сети, гостиницы",94.96,Крупнейшие
102,Российский университет дружбы народов имени Патриса Лумумбы (RUDN University after Patrice Lumumba),Москва,Наука и образование,94.56,Крупнейшие
103,Фармстандарт,Московская область,Фармацевтика и медицина,94.46,Крупнейшие
104,ROSSKO,Новосибирская область,"Оптовые продажи, дилеры, дистрибьюторы",94.1,Крупнейшие
105,Доброцен,Свердловская область,Розничные сети,94.03,Крупнейшие
106,NOVABEV GROUP,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",93.9,Крупнейшие
107,"АО ""УК ""Кузбассразрезуголь""",Кемеровская область,"Энергетика, добыча и переработка сырья",93.77,Крупнейшие
108,"Компания ""Русский Свет""",Тверская область,"Оптовые продажи, дилеры, дистрибьюторы",93.44,Крупнейшие
109,"ПАО ""ДЭК""",Приморский край,"Энергетика, добыча и переработка сырья",93.19,Крупнейшие
110,Детский Мир,Москва,Розничные сети,93.13,Крупнейшие
111,"""Башнефтегеофизика""",Республика Башкортостан,Сервисные и инжиниринговые компании,93.02,Крупнейшие
112,ДГК,Хабаровский край,"Энергетика, добыча и переработка сырья",92.96,Крупнейшие
113,Лаборатория Гемотест,Москва,Фармацевтика и медицина,92.9,Крупнейшие
114,Мосэнерго,Москва,"Энергетика, добыча и переработка сырья",92.38,Крупнейшие
115,Макси,Вологодская область,Розничные сети,92.16,Крупнейшие
116,Ак Барс Банк,Республика Татарстан,Банки,92.15,Крупнейшие
117,Группа ГАЗ,Нижегородская область,"Промышленное производство (непищевое), торгово-производственные компании",92.02,Крупнейшие
118,Стройтранснефтегаз,Санкт-Петербург,Строительство и недвижимость,92.01,Крупнейшие
119,Максавит,Нижегородская область,Фармацевтика и медицина,91.58,Крупнейшие
120,Ренна-Холдинг,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",91.38,Крупнейшие
121,Стройтрансгаз,Москва,Строительство и недвижимость,91.12,Крупнейшие
122,МОСТРАНСАВТО,Москва,"Транспорт, логистика, автодилеры",90.95,Крупнейшие
123,"Фирма ""Агрокомплекс"" им. Н.И. Ткачева (Агрокомплекс Выселковский)",Краснодарский край,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",90.33,Крупнейшие
124,"Аптечная сеть 36,6",Москва,Фармацевтика и медицина,89.81,Крупнейшие
125,Командор,Красноярский край,Розничные сети,89.36,Крупнейшие
126,Читай-город,Москва,Розничные сети,89.11,Крупнейшие
127,Дальневосточная распределительная сетевая компания,Амурская область,"Энергетика, добыча и переработка сырья",86.95,Крупнейшие
128,РЕШЕТНЁВ,Красноярский край,"Промышленное производство (непищевое), торгово-производственные компании",85.91,Крупнейшие
129,"Авиакомпания ""Россия""",Санкт-Петербург,"Транспорт, логистика, автодилеры",81.69,Крупнейшие
1,2ГИС,Новосибирская область,IT и интернет,126.54,Крупные
2,Издательство Эксмо,Москва,"Маркетинг, реклама, издательский бизнес",118.37,Крупные
